epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9528,1.96476,5.34682,0.95067,0.69393,0.59881,0.64991,0.31732,1.74343,2.18446,0.97675,0.000662252,0.000662252,0.000662252
2,42.1684,1.64643,2.91297,0.91963,0.77945,0.66213,0.71696,0.38909,1.71963,1.54004,0.99084,0.00131247,0.00131247,0.00131247
3,62.0244,1.61947,2.14279,0.90903,0.87299,0.69752,0.80112,0.49079,1.5631,1.23311,0.95031,0.00194619,0.00194619,0.00194619
4,81.7238,1.58809,1.61615,0.89331,0.7826,0.70698,0.75843,0.40611,1.63657,1.18618,0.94892,0.00192575,0.00192575,0.00192575
5,101.084,1.50778,1.36028,0.88879,0.83764,0.68712,0.77746,0.44748,1.63904,1.18009,0.97953,0.001901,0.001901,0.001901
6,120.366,1.43576,1.19207,0.87941,0.79781,0.74818,0.80589,0.52491,1.44287,1.14635,0.95295,0.00187625,0.00187625,0.00187625
7,139.702,1.36538,1.12989,0.88562,0.86431,0.73589,0.82477,0.5023,1.54774,1.07788,0.9535,0.0018515,0.0018515,0.0018515
8,159.163,1.3334,1.06352,0.87014,0.90304,0.67277,0.78946,0.49586,1.57442,1.35794,0.96522,0.00182675,0.00182675,0.00182675
9,178.527,1.38418,1.05041,0.86234,0.86937,0.7246,0.8291,0.54313,1.42374,1.09261,0.91567,0.001802,0.001802,0.001802
10,198.012,1.3237,1.00199,0.86126,0.88923,0.72009,0.84015,0.55285,1.44863,1.21231,0.91624,0.00177725,0.00177725,0.00177725
11,217.524,1.26193,0.97207,0.84937,0.87845,0.72686,0.81124,0.53389,1.45018,1.10507,0.91465,0.0017525,0.0017525,0.0017525
12,236.805,1.28977,0.96126,0.84498,0.89969,0.72888,0.84402,0.53772,1.40855,1.04683,0.90989,0.00172775,0.00172775,0.00172775
13,256.336,1.222,0.93006,0.85027,0.91668,0.79007,0.89037,0.58994,1.30251,0.89858,0.88808,0.001703,0.001703,0.001703
14,275.907,1.22562,0.95015,0.84113,0.87719,0.77878,0.85955,0.5494,1.42662,0.99207,0.9095,0.00167825,0.00167825,0.00167825
15,295.211,1.16796,0.91682,0.83686,0.8601,0.79107,0.86429,0.56064,1.35949,0.94618,0.89206,0.0016535,0.0016535,0.0016535
16,314.603,1.21333,0.90437,0.83377,0.89037,0.78829,0.866,0.59068,1.28739,0.886,0.88906,0.00162875,0.00162875,0.00162875
17,334.138,1.17712,0.93318,0.83078,0.87019,0.73589,0.82937,0.5671,1.28216,1.2142,0.88879,0.001604,0.001604,0.001604
18,353.412,1.17256,0.90363,0.82169,0.88824,0.7894,0.86176,0.61334,1.25544,0.95692,0.8827,0.00157925,0.00157925,0.00157925
19,372.932,1.17152,0.86148,0.83813,0.89941,0.74675,0.85378,0.55198,1.37299,1.02008,0.88109,0.0015545,0.0015545,0.0015545
20,392.674,1.15283,0.85653,0.81904,0.90756,0.80135,0.88292,0.61263,1.2163,0.87781,0.86983,0.00152975,0.00152975,0.00152975
21,412.007,1.17855,0.86999,0.81916,0.8789,0.78636,0.87375,0.58768,1.25804,0.86747,0.87378,0.001505,0.001505,0.001505
22,432.098,1.12868,0.87208,0.8166,0.87516,0.83747,0.88088,0.60792,1.28114,0.943,0.87389,0.00148025,0.00148025,0.00148025
23,451.55,1.15502,0.87353,0.83135,0.91615,0.79233,0.88312,0.61399,1.23568,0.88782,0.87291,0.0014555,0.0014555,0.0014555
24,471.367,1.12417,0.85988,0.82102,0.89141,0.7991,0.87592,0.5914,1.28068,0.93074,0.85425,0.00143075,0.00143075,0.00143075
25,491.208,1.10682,0.85611,0.82514,0.84768,0.76631,0.84131,0.59629,1.25241,1.01675,0.87171,0.001406,0.001406,0.001406
26,510.625,1.09997,0.83471,0.81632,0.90303,0.77777,0.86693,0.61414,1.29343,0.92993,0.88916,0.00138125,0.00138125,0.00138125
27,530.185,1.09236,0.82001,0.82385,0.89565,0.82393,0.89277,0.63674,1.22698,0.89282,0.86839,0.0013565,0.0013565,0.0013565
28,549.96,1.0844,0.83374,0.8143,0.87268,0.81038,0.87959,0.60545,1.26352,0.83995,0.86466,0.00133175,0.00133175,0.00133175
29,569.498,1.07568,0.82721,0.81644,0.89388,0.79458,0.87688,0.61044,1.23836,0.79103,0.87102,0.001307,0.001307,0.001307
30,589.804,1.09437,0.82378,0.81023,0.87596,0.77652,0.864,0.60541,1.30871,1.02936,0.88688,0.00128225,0.00128225,0.00128225
31,610.418,1.05811,0.82615,0.81805,0.89895,0.80328,0.89287,0.61976,1.17669,0.83574,0.84714,0.0012575,0.0012575,0.0012575
32,631.566,1.06024,0.82492,0.8098,0.84456,0.7991,0.84653,0.61781,1.22888,0.97252,0.87967,0.00123275,0.00123275,0.00123275
33,651.506,1.01279,0.79357,0.81819,0.8682,0.78807,0.86318,0.62387,1.14738,0.91091,0.86303,0.001208,0.001208,0.001208
34,671.415,1.02604,0.81649,0.80263,0.85141,0.78897,0.84704,0.58855,1.26604,0.95304,0.88018,0.00118325,0.00118325,0.00118325
35,692.951,1.07653,0.81279,0.81016,0.88803,0.76975,0.86846,0.60713,1.2403,0.92076,0.87115,0.0011585,0.0011585,0.0011585
36,712.441,1.06205,0.80806,0.81543,0.8764,0.80027,0.86493,0.6077,1.2452,0.98829,0.86896,0.00113375,0.00113375,0.00113375
37,732.208,1.03538,0.79224,0.79772,0.88818,0.78555,0.88039,0.64358,1.18858,1.01613,0.86008,0.001109,0.001109,0.001109
