epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9083,1.97203,4.72737,0.98256,0.93211,0.41605,0.8292,0.42847,1.60263,2.75284,0.90537,0.000661017,0.000661017,0.000661017
2,32.8539,1.63515,2.39628,0.90763,0.47287,0.77744,0.46448,0.24436,1.54358,1.67014,0.90126,0.00131125,0.00131125,0.00131125
3,48.1984,1.55907,1.84097,0.90687,0.86898,0.86424,0.92009,0.51331,1.50642,1.12089,0.87837,0.00194499,0.00194499,0.00194499
4,63.4895,1.61553,1.4973,0.90839,0.91084,0.86675,0.91747,0.51668,1.47339,0.99173,0.88443,0.00192575,0.00192575,0.00192575
5,78.3237,1.46097,1.18159,0.87923,0.84445,0.86061,0.90975,0.51037,1.4973,0.84218,0.89643,0.001901,0.001901,0.001901
6,93.2414,1.40152,1.03353,0.87332,0.87166,0.92121,0.93496,0.58976,1.269,0.73025,0.8409,0.00187625,0.00187625,0.00187625
7,108.101,1.36487,0.91688,0.86041,0.89396,0.9,0.94003,0.64899,1.18896,0.7018,0.84079,0.0018515,0.0018515,0.0018515
8,123.589,1.33745,0.85805,0.85343,0.89576,0.91141,0.94419,0.639,1.21813,0.69497,0.84506,0.00182675,0.00182675,0.00182675
9,138.931,1.25103,0.77644,0.84233,0.89927,0.91212,0.94801,0.64289,1.19633,0.63839,0.83645,0.001802,0.001802,0.001802
10,154.204,1.2523,0.76873,0.86167,0.91725,0.94057,0.96075,0.69661,1.04657,0.58015,0.82465,0.00177725,0.00177725,0.00177725
11,169.078,1.27593,0.73375,0.85908,0.8866,0.92727,0.95333,0.67209,1.13456,0.60568,0.82756,0.0017525,0.0017525,0.0017525
12,184.057,1.24303,0.72638,0.8504,0.8619,0.91212,0.92388,0.62485,1.22255,0.64908,0.82788,0.00172775,0.00172775,0.00172775
13,198.936,1.25648,0.72143,0.85086,0.90553,0.90303,0.94758,0.66431,1.1684,0.63209,0.83722,0.001703,0.001703,0.001703
14,213.904,1.22406,0.68587,0.83279,0.89813,0.9,0.9444,0.67277,1.11077,0.63048,0.82571,0.00167825,0.00167825,0.00167825
15,229.297,1.18808,0.66676,0.84005,0.9234,0.95455,0.97115,0.69833,1.08288,0.58899,0.84033,0.0016535,0.0016535,0.0016535
16,244.376,1.19873,0.66941,0.84178,0.92175,0.94848,0.96189,0.68922,1.0542,0.58593,0.81819,0.00162875,0.00162875,0.00162875
17,259.746,1.18926,0.65056,0.83908,0.91071,0.92424,0.95719,0.67812,1.08464,0.5722,0.81966,0.001604,0.001604,0.001604
18,275.293,1.14188,0.6398,0.83264,0.8995,0.89506,0.9527,0.69497,1.03325,0.58264,0.81259,0.00157925,0.00157925,0.00157925
19,291.764,1.13296,0.63843,0.83176,0.95682,0.94008,0.97982,0.71907,0.99186,0.53454,0.81344,0.0015545,0.0015545,0.0015545
20,307.074,1.13566,0.6264,0.84839,0.92071,0.94242,0.96967,0.7059,1.04217,0.56102,0.82016,0.00152975,0.00152975,0.00152975
21,322.643,1.15147,0.62506,0.83188,0.86577,0.94545,0.95749,0.68972,1.04212,0.57575,0.80886,0.001505,0.001505,0.001505
22,338.369,1.20714,0.62559,0.81865,0.94093,0.90606,0.95081,0.6773,1.13949,0.56007,0.81194,0.00148025,0.00148025,0.00148025
23,353.878,1.16763,0.62003,0.81465,0.90357,0.91515,0.95428,0.70243,1.05758,0.56106,0.80356,0.0014555,0.0014555,0.0014555
24,369.197,1.10965,0.6123,0.82063,0.94487,0.92424,0.97271,0.73499,0.98264,0.51792,0.80543,0.00143075,0.00143075,0.00143075
25,384.688,1.14012,0.60355,0.82162,0.90469,0.89165,0.94339,0.6661,1.11992,0.60535,0.81655,0.001406,0.001406,0.001406
26,400.065,1.16921,0.60569,0.81799,0.86589,0.89697,0.92578,0.67153,1.06376,0.58507,0.80732,0.00138125,0.00138125,0.00138125
27,415.4,1.09207,0.59065,0.81453,0.92356,0.95196,0.96995,0.74089,0.95354,0.50957,0.80331,0.0013565,0.0013565,0.0013565
28,430.65,1.05551,0.57092,0.81799,0.91417,0.94242,0.96402,0.69621,1.05417,0.54223,0.8131,0.00133175,0.00133175,0.00133175
29,445.731,1.07459,0.57376,0.82548,0.94692,0.88788,0.96255,0.71341,0.96945,0.53187,0.8102,0.001307,0.001307,0.001307
30,460.826,1.10102,0.57538,0.81946,0.95955,0.93451,0.97148,0.74179,0.95403,0.52255,0.8015,0.00128225,0.00128225,0.00128225
31,476.099,1.11592,0.57436,0.82194,0.90784,0.94545,0.96431,0.7094,1.03987,0.54264,0.80367,0.0012575,0.0012575,0.0012575
32,491.348,1.06968,0.57222,0.81264,0.92079,0.94242,0.97626,0.74974,0.95833,0.49929,0.80382,0.00123275,0.00123275,0.00123275
33,506.804,1.04704,0.56948,0.81456,0.96268,0.93806,0.98232,0.74963,0.94783,0.50058,0.80862,0.001208,0.001208,0.001208
34,521.908,1.10126,0.57636,0.80734,0.95668,0.93679,0.98483,0.7354,0.99776,0.52902,0.80152,0.00118325,0.00118325,0.00118325
35,537.02,1.06707,0.55238,0.81767,0.94322,0.96364,0.97909,0.75183,0.94513,0.48551,0.80244,0.0011585,0.0011585,0.0011585
36,551.97,1.05607,0.55647,0.81202,0.95962,0.91515,0.96662,0.73229,0.96759,0.52434,0.79675,0.00113375,0.00113375,0.00113375
37,566.939,1.03208,0.53557,0.80321,0.92184,0.93939,0.97167,0.74876,0.95063,0.49516,0.7988,0.001109,0.001109,0.001109
38,582.012,1.01352,0.52556,0.80902,0.92999,0.9303,0.97291,0.72755,0.99347,0.50221,0.79575,0.00108425,0.00108425,0.00108425
39,597.291,0.99888,0.51844,0.80299,0.91454,0.94242,0.96888,0.74729,0.93922,0.48601,0.7946,0.0010595,0.0010595,0.0010595
40,612.459,0.98389,0.5176,0.80765,0.96701,0.9303,0.97926,0.74539,0.94117,0.4709,0.79989,0.00103475,0.00103475,0.00103475
41,627.704,1.00094,0.51241,0.80047,0.96535,0.91515,0.97099,0.74168,0.93528,0.4721,0.7988,0.00101,0.00101,0.00101
42,642.983,0.98077,0.51582,0.80532,0.93992,0.94822,0.97497,0.75724,0.89106,0.45725,0.79454,0.00098525,0.00098525,0.00098525
43,658.358,0.97075,0.49106,0.80223,0.91454,0.94046,0.96205,0.72339,0.96841,0.48452,0.79736,0.0009605,0.0009605,0.0009605
44,673.688,0.97396,0.49109,0.80198,0.94275,0.92727,0.97033,0.74815,0.92439,0.47748,0.79799,0.00093575,0.00093575,0.00093575
45,688.966,0.94928,0.50189,0.80052,0.92477,0.93333,0.9604,0.7415,0.90579,0.47511,0.7942,0.000911,0.000911,0.000911
46,704.261,0.95895,0.48211,0.80679,0.94144,0.93636,0.97086,0.75423,0.93034,0.46901,0.79966,0.00088625,0.00088625,0.00088625
47,719.924,0.96973,0.49112,0.79475,0.92167,0.96266,0.97405,0.75904,0.89405,0.46103,0.79255,0.0008615,0.0008615,0.0008615
48,734.912,0.96803,0.49091,0.7993,0.94825,0.9439,0.97747,0.75089,0.91886,0.46481,0.79368,0.00083675,0.00083675,0.00083675
49,750.249,0.9635,0.48416,0.79802,0.94246,0.94306,0.97112,0.75446,0.93297,0.46445,0.79144,0.000812,0.000812,0.000812
50,765.453,0.99562,0.48926,0.79869,0.95329,0.95455,0.98158,0.77422,0.86249,0.44439,0.79097,0.00078725,0.00078725,0.00078725
51,781.212,0.93282,0.47136,0.7968,0.97306,0.91515,0.98082,0.76521,0.91431,0.45563,0.78735,0.0007625,0.0007625,0.0007625
52,796.46,0.95453,0.47405,0.79914,0.93666,0.94109,0.97465,0.78696,0.82658,0.42425,0.7891,0.00073775,0.00073775,0.00073775
53,811.674,0.92742,0.46343,0.79914,0.95748,0.95758,0.97941,0.73548,0.96748,0.45334,0.79404,0.000713,0.000713,0.000713
54,827.169,0.96173,0.47025,0.79529,0.97499,0.92727,0.97785,0.77425,0.86792,0.4287,0.78888,0.00068825,0.00068825,0.00068825
55,843.422,0.91579,0.46686,0.80118,0.94655,0.95152,0.98011,0.76842,0.8755,0.43267,0.78725,0.0006635,0.0006635,0.0006635
56,859.082,0.97956,0.48515,0.80109,0.93775,0.95867,0.98087,0.77438,0.86947,0.43005,0.78941,0.00063875,0.00063875,0.00063875
57,874.373,0.90199,0.44946,0.80391,0.96891,0.93636,0.9827,0.78932,0.83675,0.41614,0.7861,0.000614,0.000614,0.000614
58,889.85,0.92917,0.45711,0.79912,0.96289,0.94364,0.97369,0.76936,0.88888,0.43545,0.78808,0.00058925,0.00058925,0.00058925
59,905.183,0.9066,0.45033,0.79253,0.95517,0.94848,0.97906,0.77491,0.86912,0.42592,0.78662,0.0005645,0.0005645,0.0005645
60,920.601,0.9272,0.45763,0.79496,0.9574,0.95352,0.9792,0.77426,0.87621,0.43894,0.78614,0.00053975,0.00053975,0.00053975
61,935.945,0.92114,0.45093,0.79207,0.94855,0.9303,0.97191,0.75639,0.93041,0.45537,0.7911,0.000515,0.000515,0.000515
62,951.484,0.92723,0.45143,0.80237,0.95702,0.94463,0.97286,0.7725,0.86822,0.42917,0.78772,0.00049025,0.00049025,0.00049025
63,967.102,0.8913,0.44569,0.79369,0.93671,0.95758,0.97968,0.77916,0.84014,0.42337,0.7867,0.0004655,0.0004655,0.0004655
64,982.412,0.89485,0.44211,0.79044,0.96295,0.94848,0.98022,0.77797,0.83641,0.41062,0.7847,0.00044075,0.00044075,0.00044075
65,998.135,0.86921,0.43295,0.78302,0.95429,0.94887,0.97774,0.78491,0.85065,0.42033,0.78299,0.000416,0.000416,0.000416
66,1013.78,0.89179,0.43297,0.78913,0.9603,0.9529,0.97812,0.78402,0.85186,0.40803,0.78614,0.00039125,0.00039125,0.00039125
67,1029.12,0.91712,0.43861,0.79179,0.94485,0.9303,0.97469,0.7787,0.8363,0.41437,0.78441,0.0003665,0.0003665,0.0003665
68,1044.56,0.90457,0.43275,0.78323,0.9597,0.93823,0.97796,0.79025,0.81528,0.39887,0.78371,0.00034175,0.00034175,0.00034175
69,1060.1,0.87444,0.42572,0.78836,0.96257,0.93507,0.97706,0.7949,0.81867,0.3997,0.7825,0.000317,0.000317,0.000317
70,1075.67,0.8645,0.4141,0.78762,0.95903,0.94545,0.97576,0.79045,0.81757,0.39916,0.7862,0.00029225,0.00029225,0.00029225
