epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.65282,2.50849,6.89705,1.12651,0.00178,0.43363,0.0013,0.00045,2.16749,5.4826,0.98326,0.000650407,0.000650407,0.000650407
2,14.3917,2.12227,4.24163,1.08042,0.00149,0.36283,0.02668,0.009,2.15903,4.95882,0.99137,0.00130077,0.00130077,0.00130077
3,20.0215,2.16571,3.5477,1.07405,0.54764,0.18219,0.37652,0.15527,2.12843,3.48947,1.01146,0.00193464,0.00193464,0.00193464
4,25.5696,2.15823,3.38834,1.05001,0.6541,0.67257,0.71887,0.27312,2.12704,1.88081,1.05354,0.00192575,0.00192575,0.00192575
5,31.4644,2.0281,2.87271,1.06715,0.7284,0.69912,0.76597,0.29617,2.06573,1.68578,1.01363,0.001901,0.001901,0.001901
6,37.0053,1.9905,2.51041,1.03084,0.75796,0.72056,0.83175,0.33993,2.0102,1.43154,1.01897,0.00187625,0.00187625,0.00187625
7,42.493,1.98574,2.43132,0.98991,0.68354,0.68814,0.76547,0.33878,1.95319,1.39541,0.96799,0.0018515,0.0018515,0.0018515
8,48.0348,1.9039,1.96705,0.98363,0.69019,0.81416,0.76087,0.33062,1.94298,1.43558,0.97267,0.00182675,0.00182675,0.00182675
9,53.6045,1.89681,1.81125,0.99994,0.70636,0.79646,0.8259,0.41056,1.79214,1.35672,0.95515,0.001802,0.001802,0.001802
10,59.1213,1.80562,1.68575,0.98576,0.76091,0.81678,0.85097,0.43451,1.78071,1.24624,0.95757,0.00177725,0.00177725,0.00177725
11,64.9053,1.86995,1.51843,0.95698,0.81622,0.78761,0.87202,0.47221,1.68874,1.16894,0.92418,0.0017525,0.0017525,0.0017525
12,70.4979,1.82512,1.4833,0.94592,0.76783,0.76097,0.83414,0.40781,1.76661,1.05821,0.91282,0.00172775,0.00172775,0.00172775
13,76.0434,1.80004,1.38419,0.94171,0.73434,0.75221,0.78138,0.40449,1.76969,0.95598,0.90501,0.001703,0.001703,0.001703
14,81.7912,1.7071,1.30553,0.94286,0.73859,0.89381,0.88175,0.44242,1.6827,0.88731,0.88947,0.00167825,0.00167825,0.00167825
15,87.2845,1.72543,1.26432,0.94264,0.82791,0.89408,0.93749,0.48681,1.58024,0.81249,0.90442,0.0016535,0.0016535,0.0016535
16,92.7923,1.70614,1.21646,0.92989,0.9198,0.89381,0.9708,0.53442,1.52532,0.7935,0.9026,0.00162875,0.00162875,0.00162875
17,98.3493,1.62488,1.12051,0.90573,0.74582,0.92035,0.90476,0.50351,1.60101,0.79593,0.89375,0.001604,0.001604,0.001604
18,103.822,1.69038,1.11924,0.90955,0.8203,0.90265,0.93337,0.52291,1.52331,0.79089,0.87727,0.00157925,0.00157925,0.00157925
19,109.241,1.55709,1.05033,0.89411,0.90682,0.86125,0.9447,0.51613,1.54778,0.77646,0.88728,0.0015545,0.0015545,0.0015545
20,115.152,1.53286,0.99334,0.89345,0.8661,0.91584,0.93427,0.52344,1.47432,0.76997,0.8842,0.00152975,0.00152975,0.00152975
21,120.746,1.60196,1.00738,0.89544,0.86445,0.9115,0.93501,0.49581,1.57468,0.79882,0.89356,0.001505,0.001505,0.001505
22,126.572,1.67705,0.99343,0.89498,0.87944,0.90265,0.93916,0.5241,1.54072,0.76478,0.88757,0.00148025,0.00148025,0.00148025
23,132.471,1.61967,0.98503,0.88651,0.85608,0.88496,0.93991,0.51653,1.61969,0.81134,0.89592,0.0014555,0.0014555,0.0014555
24,138.482,1.68145,1.01456,0.89677,0.94803,0.89381,0.96746,0.55034,1.54988,0.74237,0.86794,0.00143075,0.00143075,0.00143075
25,144.218,1.59199,0.96876,0.91231,0.86672,0.9292,0.94486,0.54371,1.49498,0.74196,0.89007,0.001406,0.001406,0.001406
26,149.715,1.4886,0.88497,0.88369,0.90729,0.86608,0.933,0.54479,1.54568,0.7407,0.87006,0.00138125,0.00138125,0.00138125
27,155.571,1.50026,0.90898,0.89617,0.87935,0.88496,0.94504,0.5072,1.63554,0.74401,0.86816,0.0013565,0.0013565,0.0013565
28,161.116,1.59069,0.90985,0.87736,0.84217,0.9292,0.95348,0.55702,1.47483,0.7438,0.87352,0.00133175,0.00133175,0.00133175
29,166.654,1.52435,0.88458,0.85627,0.86071,0.9296,0.9684,0.56376,1.47631,0.74049,0.86471,0.001307,0.001307,0.001307
30,172.162,1.52503,0.87173,0.87583,0.88835,0.88496,0.95802,0.56872,1.4326,0.70511,0.85968,0.00128225,0.00128225,0.00128225
31,177.722,1.47366,0.8416,0.86329,0.8764,0.90265,0.95692,0.55591,1.50006,0.71009,0.855,0.0012575,0.0012575,0.0012575
32,183.283,1.43548,0.82189,0.87075,0.90191,0.89502,0.9594,0.58871,1.45134,0.71722,0.86672,0.00123275,0.00123275,0.00123275
33,188.987,1.47036,0.83897,0.88156,0.8671,0.9115,0.9402,0.5713,1.42095,0.70916,0.8609,0.001208,0.001208,0.001208
34,194.718,1.39085,0.78175,0.85169,0.92776,0.9292,0.96518,0.58636,1.44141,0.65763,0.86705,0.00118325,0.00118325,0.00118325
35,200.278,1.52049,0.81618,0.86854,0.90354,0.92035,0.97196,0.57046,1.457,0.70918,0.86112,0.0011585,0.0011585,0.0011585
36,205.817,1.42295,0.82427,0.85253,0.9013,0.88891,0.9542,0.54183,1.48605,0.72046,0.8545,0.00113375,0.00113375,0.00113375
37,211.679,1.44933,0.81622,0.85131,0.93344,0.93805,0.98441,0.59217,1.42123,0.6641,0.84433,0.001109,0.001109,0.001109
38,217.2,1.47145,0.77835,0.84358,0.91002,0.9292,0.96895,0.6086,1.36365,0.66586,0.84756,0.00108425,0.00108425,0.00108425
39,222.698,1.49642,0.80274,0.85757,0.88719,0.9292,0.9422,0.55764,1.45413,0.69307,0.85605,0.0010595,0.0010595,0.0010595
40,228.286,1.35513,0.78243,0.85908,0.90557,0.93357,0.98061,0.58571,1.40319,0.65806,0.85813,0.00103475,0.00103475,0.00103475
41,233.778,1.50486,0.83314,0.86074,0.85185,0.96678,0.95407,0.55105,1.46563,0.68177,0.84886,0.00101,0.00101,0.00101
42,239.257,1.45556,0.80517,0.83877,0.87251,0.90845,0.96167,0.56157,1.43755,0.67289,0.85336,0.00098525,0.00098525,0.00098525
43,244.852,1.36404,0.79219,0.83536,0.9448,0.90876,0.97652,0.58962,1.39511,0.66732,0.84716,0.0009605,0.0009605,0.0009605
44,250.332,1.38229,0.75406,0.85561,0.84476,0.9823,0.97188,0.60528,1.37644,0.65538,0.83948,0.00093575,0.00093575,0.00093575
45,255.841,1.40968,0.72665,0.83676,0.86199,0.97345,0.96988,0.58468,1.42566,0.64236,0.85078,0.000911,0.000911,0.000911
46,261.528,1.35147,0.73078,0.85898,0.91242,0.92192,0.97671,0.61032,1.33429,0.64105,0.83723,0.00088625,0.00088625,0.00088625
47,267.004,1.42397,0.71088,0.83158,0.88825,0.95575,0.97804,0.61226,1.39232,0.63638,0.84593,0.0008615,0.0008615,0.0008615
48,273.025,1.44405,0.74404,0.84239,0.89048,0.9469,0.96403,0.59487,1.41198,0.67604,0.84714,0.00083675,0.00083675,0.00083675
49,278.716,1.43841,0.72259,0.83257,0.92032,0.9469,0.98245,0.60181,1.37206,0.64288,0.83792,0.000812,0.000812,0.000812
50,284.369,1.34995,0.69538,0.83096,0.92762,0.9292,0.98193,0.60584,1.38559,0.61879,0.83987,0.00078725,0.00078725,0.00078725
51,289.777,1.33038,0.69394,0.82286,0.9299,0.93908,0.9853,0.60501,1.34582,0.61645,0.82979,0.0007625,0.0007625,0.0007625
52,295.714,1.3332,0.67723,0.82777,0.97256,0.94094,0.98668,0.64134,1.29157,0.59132,0.83094,0.00073775,0.00073775,0.00073775
53,301.315,1.27562,0.67222,0.83444,0.90159,0.97289,0.98124,0.64852,1.28622,0.5832,0.8231,0.000713,0.000713,0.000713
54,307.068,1.31189,0.66186,0.80148,0.90768,0.95712,0.9838,0.6222,1.30229,0.59881,0.8277,0.00068825,0.00068825,0.00068825
55,312.707,1.32622,0.69347,0.82676,0.97173,0.91262,0.98396,0.64493,1.26993,0.58364,0.82717,0.0006635,0.0006635,0.0006635
56,318.442,1.25868,0.65113,0.82016,0.92343,0.96061,0.98277,0.62073,1.2708,0.58923,0.82785,0.00063875,0.00063875,0.00063875
57,324.427,1.32298,0.64571,0.80805,0.93032,0.94527,0.97926,0.63847,1.30053,0.57761,0.83191,0.000614,0.000614,0.000614
58,330.351,1.25124,0.64196,0.81931,0.92059,0.92035,0.97355,0.64471,1.26388,0.58757,0.8229,0.00058925,0.00058925,0.00058925
59,335.956,1.29898,0.64519,0.81826,0.91675,0.92035,0.97774,0.6206,1.31243,0.60345,0.83315,0.0005645,0.0005645,0.0005645
60,341.718,1.23365,0.63042,0.82071,0.93574,0.93805,0.98327,0.63657,1.30303,0.57154,0.81571,0.00053975,0.00053975,0.00053975
61,347.25,1.24528,0.64,0.81374,0.95263,0.89381,0.96063,0.6336,1.29566,0.60201,0.82184,0.000515,0.000515,0.000515
62,352.685,1.24768,0.63733,0.79353,0.94221,0.92035,0.9804,0.62733,1.32947,0.59199,0.82176,0.00049025,0.00049025,0.00049025
63,358.161,1.26131,0.62015,0.81448,0.89019,0.93265,0.96855,0.62765,1.31591,0.59882,0.82753,0.0004655,0.0004655,0.0004655
64,363.63,1.2736,0.62706,0.80461,0.94614,0.9469,0.98556,0.63673,1.31622,0.58977,0.8221,0.00044075,0.00044075,0.00044075
65,369.37,1.18409,0.62365,0.81646,0.95538,0.92035,0.98588,0.67323,1.25892,0.5739,0.82024,0.000416,0.000416,0.000416
66,374.994,1.27476,0.64213,0.82176,0.92074,0.92527,0.97629,0.64711,1.31032,0.58844,0.82455,0.00039125,0.00039125,0.00039125
67,380.493,1.26856,0.62978,0.82324,0.95573,0.95535,0.9872,0.64235,1.32845,0.5767,0.82379,0.0003665,0.0003665,0.0003665
68,385.93,1.25069,0.64209,0.80857,0.91263,0.9646,0.97666,0.6449,1.33189,0.58408,0.82433,0.00034175,0.00034175,0.00034175
69,391.496,1.26527,0.61512,0.795,0.89428,0.97317,0.98284,0.63893,1.28386,0.57231,0.81487,0.000317,0.000317,0.000317
70,397.172,1.18924,0.58793,0.79643,0.93661,0.9115,0.97701,0.6559,1.27593,0.58243,0.81937,0.00029225,0.00029225,0.00029225
71,412.274,1.17295,0.61244,0.7948,0.89905,0.94575,0.96796,0.63897,1.29036,0.61244,0.81905,0.0002675,0.0002675,0.0002675
72,417.744,1.11636,0.60905,0.81472,0.91608,0.97345,0.98127,0.66314,1.26634,0.56609,0.81972,0.00024275,0.00024275,0.00024275
73,423.076,1.13169,0.59456,0.79665,0.9396,0.96368,0.98571,0.66177,1.26195,0.55102,0.82239,0.000218,0.000218,0.000218
74,428.765,1.15948,0.60768,0.80957,0.92228,0.93805,0.97978,0.66084,1.22909,0.56077,0.8176,0.00019325,0.00019325,0.00019325
75,434.237,1.08308,0.58602,0.80323,0.93857,0.94643,0.98788,0.67009,1.25598,0.56097,0.81424,0.0001685,0.0001685,0.0001685
76,439.673,1.09313,0.60177,0.8018,0.95306,0.9469,0.98536,0.6826,1.22031,0.56414,0.81061,0.00014375,0.00014375,0.00014375
77,445.294,1.09421,0.58549,0.80597,0.9502,0.9292,0.98208,0.68165,1.21206,0.55073,0.81542,0.000119,0.000119,0.000119
78,450.921,1.08632,0.57867,0.78978,0.96182,0.89174,0.9792,0.65781,1.25291,0.56426,0.81326,9.425e-05,9.425e-05,9.425e-05
79,456.365,1.0618,0.57556,0.80636,0.94667,0.94254,0.98356,0.6644,1.22606,0.56335,0.81549,6.95e-05,6.95e-05,6.95e-05
80,461.773,1.04351,0.55782,0.79966,0.94656,0.92035,0.98207,0.67886,1.20929,0.55126,0.81371,4.475e-05,4.475e-05,4.475e-05
