epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9024,1.84998,5.7682,0.95081,0.76911,0.65237,0.71304,0.33984,1.84924,1.12062,0.99882,0.000662252,0.000662252,0.000662252
2,71.4165,1.66059,1.34794,0.91948,0.63407,0.68623,0.68192,0.32236,1.98893,1.385,1.02165,0.00131247,0.00131247,0.00131247
3,104.31,1.67058,1.25196,0.922,0.73978,0.67269,0.72474,0.40043,1.78288,1.19213,1.01664,0.00194619,0.00194619,0.00194619
4,137.339,1.62359,1.16357,0.90656,0.665,0.57562,0.60124,0.31159,1.96409,2.40601,1.12174,0.00192575,0.00192575,0.00192575
5,170.444,1.55113,1.11342,0.90412,0.79021,0.72272,0.77185,0.46491,1.6632,1.17506,0.97667,0.001901,0.001901,0.001901
6,203.233,1.49334,1.041,0.8921,0.84395,0.70807,0.79275,0.50171,1.46703,1.24814,0.9692,0.00187625,0.00187625,0.00187625
7,236.068,1.3468,0.96823,0.88755,0.81922,0.77652,0.81554,0.52279,1.48563,1.14742,0.93516,0.0018515,0.0018515,0.0018515
8,269.114,1.3448,0.96672,0.8668,0.76404,0.74266,0.72882,0.4565,1.47364,1.04553,0.93776,0.00182675,0.00182675,0.00182675
9,302.139,1.30336,0.93182,0.85411,0.80216,0.76883,0.81813,0.54315,1.52241,1.08025,0.94823,0.001802,0.001802,0.001802
10,335.013,1.26714,0.89869,0.85246,0.83362,0.76072,0.82056,0.50005,1.52679,1.06329,0.93991,0.00177725,0.00177725,0.00177725
11,367.679,1.2306,0.8769,0.84467,0.84001,0.77878,0.85418,0.57081,1.34681,0.96194,0.90408,0.0017525,0.0017525,0.0017525
12,400.622,1.24,0.89491,0.84468,0.8701,0.76975,0.83974,0.57109,1.34607,1.14361,0.91431,0.00172775,0.00172775,0.00172775
13,434.556,1.22217,0.86377,0.84565,0.87526,0.78555,0.84335,0.58916,1.30397,0.9612,0.92238,0.001703,0.001703,0.001703
14,467.473,1.19093,0.86548,0.83099,0.82019,0.78257,0.86137,0.58973,1.3445,0.94603,0.90648,0.00167825,0.00167825,0.00167825
15,500.482,1.17651,0.86154,0.83421,0.87075,0.73589,0.81953,0.52648,1.47513,1.18186,0.94312,0.0016535,0.0016535,0.0016535
16,533.367,1.20026,0.84492,0.83201,0.81872,0.79518,0.8355,0.56362,1.30972,0.90507,0.8915,0.00162875,0.00162875,0.00162875
17,566.264,1.18136,0.8811,0.82637,0.89732,0.76975,0.85956,0.58291,1.30661,0.92447,0.91031,0.001604,0.001604,0.001604
18,598.947,1.15028,0.85235,0.80968,0.8707,0.76006,0.83049,0.59624,1.29575,1.15457,0.90356,0.00157925,0.00157925,0.00157925
19,631.565,1.11093,0.80292,0.8245,0.87399,0.73584,0.81218,0.55308,1.30471,1.12602,0.90089,0.0015545,0.0015545,0.0015545
20,664.405,1.16732,0.80856,0.81593,0.87491,0.79458,0.85215,0.59183,1.31328,1.01808,0.90776,0.00152975,0.00152975,0.00152975
21,696.88,1.15897,0.83132,0.82099,0.83378,0.80361,0.86447,0.57589,1.3256,0.89064,0.88341,0.001505,0.001505,0.001505
22,729.257,1.11665,0.83898,0.81593,0.8988,0.81038,0.88844,0.62147,1.23441,0.8913,0.88509,0.00148025,0.00148025,0.00148025
23,761.809,1.11776,0.8258,0.82213,0.90129,0.82448,0.90028,0.62628,1.22548,0.80478,0.87639,0.0014555,0.0014555,0.0014555
24,794.753,1.11101,0.81094,0.81663,0.91376,0.7991,0.87362,0.60687,1.31154,0.92457,0.88587,0.00143075,0.00143075,0.00143075
25,827.352,1.06635,0.78943,0.81687,0.91842,0.74266,0.84796,0.61843,1.22501,1.01314,0.89546,0.001406,0.001406,0.001406
