epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.836,1.85257,5.45972,0.971,0.83888,0.78788,0.88019,0.49666,1.44105,1.10087,0.89507,0.000661017,0.000661017,0.000661017
2,54.0388,1.54209,0.96562,0.89507,0.88987,0.85152,0.91938,0.58735,1.40456,0.77842,0.90739,0.00131125,0.00131125,0.00131125
3,79.7756,1.5782,0.92325,0.91163,0.7908,0.83636,0.85927,0.49543,1.5307,0.88562,0.89584,0.00194499,0.00194499,0.00194499
4,105.634,1.6034,0.90659,0.90236,0.84078,0.87576,0.90702,0.54412,1.34721,0.94119,0.88082,0.00192575,0.00192575,0.00192575
5,131.294,1.43446,0.89484,0.871,0.84449,0.88864,0.93715,0.5913,1.27128,0.75202,0.85784,0.001901,0.001901,0.001901
6,156.871,1.39093,0.78164,0.87474,0.89623,0.90606,0.94791,0.64458,1.19748,0.67071,0.84409,0.00187625,0.00187625,0.00187625
7,182.697,1.39032,0.78358,0.86054,0.84922,0.90456,0.91062,0.61654,1.2345,0.68788,0.83884,0.0018515,0.0018515,0.0018515
8,208.634,1.29775,0.728,0.84683,0.84072,0.91169,0.92129,0.63148,1.22923,0.69367,0.85378,0.00182675,0.00182675,0.00182675
9,234.621,1.27665,0.70833,0.84202,0.90077,0.88027,0.93331,0.6016,1.24983,0.70696,0.84395,0.001802,0.001802,0.001802
10,260.71,1.23502,0.68858,0.85336,0.88025,0.9133,0.94883,0.68117,1.10341,0.60685,0.82269,0.00177725,0.00177725,0.00177725
11,286.979,1.20618,0.63022,0.84123,0.86173,0.94425,0.95985,0.67835,1.16289,0.60284,0.83691,0.0017525,0.0017525,0.0017525
12,375.822,1.24863,0.66612,0.85234,0.90973,0.91612,0.95431,0.6567,1.19836,0.62165,0.8353,0.00172775,0.00172775,0.00172775
13,1177.92,1.21744,0.6573,0.8477,0.91243,0.87879,0.9505,0.65615,1.12373,0.62638,0.82759,0.001703,0.001703,0.001703
14,1204.32,1.2356,0.66415,0.82727,0.91932,0.93234,0.96676,0.68379,1.09696,0.60586,0.8237,0.00167825,0.00167825,0.00167825
15,1238.39,1.15899,0.64102,0.83437,0.88766,0.91212,0.94132,0.66465,1.12033,0.62748,0.81887,0.0016535,0.0016535,0.0016535
16,1283.39,1.24487,0.66554,0.848,0.90247,0.95336,0.96543,0.67769,1.10268,0.59391,0.82565,0.00162875,0.00162875,0.00162875
17,1329.72,1.13772,0.61644,0.83587,0.93095,0.93963,0.96713,0.69701,1.05152,0.56014,0.81901,0.001604,0.001604,0.001604
18,1366.43,1.1354,0.62077,0.83111,0.90817,0.9303,0.96163,0.68957,1.06454,0.55849,0.81218,0.00157925,0.00157925,0.00157925
19,1395.08,1.1172,0.59841,0.83153,0.94616,0.90909,0.96975,0.73496,1.01396,0.54768,0.80669,0.0015545,0.0015545,0.0015545
