epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0946,2.77329,20.5718,1.2389,0.63317,0.38188,0.39659,0.14611,2.1067,3.39354,1.01367,0.000650407,0.000650407,0.000650407
2,20.4678,2.24266,2.12308,1.12725,0.53481,0.61062,0.59302,0.21894,2.17105,1.50788,1.05781,0.00130077,0.00130077,0.00130077
3,29.529,2.22596,1.70259,1.06892,0.61987,0.41593,0.48499,0.15698,2.47984,1.60007,1.21299,0.00193464,0.00193464,0.00193464
4,38.5527,2.23987,1.53673,1.1194,0.14795,0.6254,0.12672,0.04785,2.35783,4.68621,1.11739,0.00192575,0.00192575,0.00192575
5,47.7003,2.12308,1.4491,1.1038,0.51344,0.75221,0.59164,0.21785,2.15105,1.18302,1.03384,0.001901,0.001901,0.001901
6,56.706,2.08777,1.24114,1.0661,0.73285,0.76106,0.78503,0.3397,1.92315,1.03644,0.99888,0.00187625,0.00187625,0.00187625
7,65.8426,1.96664,1.20184,0.99482,0.67235,0.71681,0.73083,0.27745,2.09287,1.09486,1.06874,0.0018515,0.0018515,0.0018515
8,74.9413,1.91223,1.11046,0.98569,0.76978,0.86726,0.85538,0.39424,1.85415,0.9827,0.98243,0.00182675,0.00182675,0.00182675
9,84.1051,1.8878,1.03901,1.02251,0.79337,0.84956,0.88315,0.401,1.78699,0.95675,0.98997,0.001802,0.001802,0.001802
10,93.2776,1.85953,1.01318,0.98024,0.72136,0.77897,0.8212,0.35972,1.97647,0.96765,0.97109,0.00177725,0.00177725,0.00177725
11,102.479,1.90691,1.03771,0.95077,0.73328,0.65487,0.73233,0.32979,1.96524,1.12321,0.98304,0.0017525,0.0017525,0.0017525
12,111.705,1.85107,1.01196,0.95244,0.78136,0.85393,0.88079,0.41947,1.70457,0.97753,0.93627,0.00172775,0.00172775,0.00172775
13,120.942,1.71871,0.9736,0.92855,0.76382,0.82998,0.83406,0.42951,1.7029,0.86971,0.9225,0.001703,0.001703,0.001703
14,130.163,1.72699,0.96441,0.93224,0.76421,0.83178,0.80158,0.38599,1.74526,0.9154,0.91439,0.00167825,0.00167825,0.00167825
15,139.288,1.78672,0.97954,0.94665,0.76922,0.92035,0.8957,0.46613,1.62811,0.92595,0.91218,0.0016535,0.0016535,0.0016535
16,148.498,1.78632,1.0242,0.94742,0.78127,0.84956,0.89149,0.43023,1.6871,0.86385,0.91393,0.00162875,0.00162875,0.00162875
17,157.688,1.57299,0.93426,0.89994,0.85316,0.87407,0.9226,0.46119,1.64773,0.8373,0.90802,0.001604,0.001604,0.001604
18,166.822,1.68664,0.90658,0.92149,0.84096,0.77876,0.88324,0.50048,1.61867,0.85447,0.92841,0.00157925,0.00157925,0.00157925
19,176.009,1.61714,0.88495,0.90834,0.74136,0.89381,0.87246,0.44538,1.76453,0.86238,0.90567,0.0015545,0.0015545,0.0015545
20,185.137,1.67904,0.88215,0.91272,0.8254,0.84071,0.87509,0.45503,1.67357,0.83591,0.89027,0.00152975,0.00152975,0.00152975
21,194.258,1.68642,0.89274,0.90356,0.71266,0.81416,0.86111,0.40134,1.85338,0.92565,0.90091,0.001505,0.001505,0.001505
22,203.366,1.82513,0.92714,0.90389,0.88516,0.87611,0.91091,0.52732,1.52012,0.8223,0.87561,0.00148025,0.00148025,0.00148025
23,212.543,1.57376,0.81896,0.87499,0.8671,0.92035,0.95499,0.56486,1.47162,0.74755,0.87738,0.0014555,0.0014555,0.0014555
24,221.997,1.60631,0.82944,0.88016,0.87293,0.89381,0.93581,0.51703,1.54912,0.75826,0.86775,0.00143075,0.00143075,0.00143075
